code,description
A00-B99,Ciertas enfermedades infecciosas y parasitarias
C00-D49,Tumores [neoplasias]
D50-D89,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad"
E00-E89,"Enfermedades endocrinas, nutricionales y metabolicas"
F01-F99,Trastornos mentales y del comportamiento
G00-G99,Enfermedades del sistema nervioso
H00-H59,Enfermedades del ojo y sus anexos
H60-H95,Enfermedades del oído y de la apófisis mastoides
I00-I99,Enfermedades del sistema circulatorio
J00-J99,Enfermedades del sistema respiratorio
K00-K95,Enfermedades del sistema digestivo
L00-L99,Enfermedades de la piel y del tejido subcutáneo
M00-M99,Enfermedades del sistema osteomuscular y del tejido conjuntivo
N00-N99,Enfermedades del sistema genitourinario
O00-O9A,"Embarazo, parto y puerperio"
P00-P96,Ciertas afecciones originadas en el período perinatal
Q00-Q99,"Malformaciones congénitas, deformidades y anomalías cromosómicas"
R00-R99,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte"
S00-T88,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas"
V01-Y99,Causas externas de morbilidad y de mortalidad
Z00-Z99,Factores que influyen en el estado de salud y contacto con los servicios de salud
H60-H62,Enfermedades del oído externo
H65-H75,Enfermedades del oído medio y de la mastoides
H80-H83,Enfermedades del oído interno
H90-H95,Otros trastornos del oído
H00-H06,"Trastornos del párpado, aparato lagrimal y órbita"
H10-H13,Trastornos de la conjuntiva
H15-H22,"Trastornos de la esclerótica, córnea, iris y cuerpo ciliar"
G00-G09,Enfermedades inflamatorias del sistema nervioso central
G10-G13,Atrofias sistémicas que afectan principalmente el sistema nervioso central
G20-G26,Trastornos extrapiramidales y del movimiento
H25-H28,Trastornos del cristalino
H30-H36,Trastornos de la coroides y de la retina
H40-H42,Glaucoma
H43-H45,Trastornos del cuerpo vítreo y del globo ocular
H46-H48,Trastornos del nervio óptico y de las vías ópticas
H49-H52,"binocular, de la acomodación y de la refracción"
H53-H54,Alteraciones de la visión y ceguera
F00-F09,"Trastornos mentales orgánicos, incluidos los trastornos sintomáticos"
F10-F19,Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas
F20-F29,"Esquizofrenia, trastornos esquizotípicos y trastornos delirantes"
F30-F39,Trastornos del humor [afectivos]
F40-F48,"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos"
E00-E07,Trastornos de la glándula tiroides
E10-E14,Diabetes mellitus
E15-E16,Otros trastornos de la regulación de la glucosa y de la secreción interna del páncreas
E20-E35,Trastornos de otras glándulas endocrinas
D50-D53,Anemias nutricionales
D55-D59,Anemias hemolíticas
D60-D64,Anemias aplásticas y otras anemias
D65-D69,"Defectos de la coagulación, púrpura y otras afecciones hemorrágicas"
D70-D77,Otras enfermedades de la sangre y de los órganos hematopoyéticos
C00-C97,Tumores [neoplasias] malignos
D00-D09,Tumores [neoplasias] in situ
D10-D36,Tumores [neoplasias] benignos
